"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","stflife"
"ESS3e03_7",3,"3.7","01.12.2018",1508,"BG",1.5359,1.5877743,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",1510,"BG",0.768,0.7728139,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",1514,"BG",1.5359,1.068032,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",1602,"BG",1.9199,2.5546038,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",1610,"BG",0.768,0.9242729,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",1611,"BG",1.5359,1.2343026,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",1612,"BG",1.1519,1.386289,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",1614,"BG",0.768,0.9242729,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",1618,"BG",0.768,0.7300739,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",1620,"BG",0.768,0.6171915,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",1701,"BG",1.5359,1.314044,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",1702,"BG",1.5359,1.4600528,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",1706,"BG",0.768,0.65706474,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",1707,"BG",1.5359,1.314044,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",1708,"BG",1.5359,1.314044,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",1712,"BG",1.5359,1.068032,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",1716,"BG",0.384,0.31372887,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",1801,"BG",1.5359,2.1569757,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",1804,"BG",0.768,0.65706474,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",1806,"BG",0.768,0.65706474,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",1807,"BG",1.5359,1.2775698,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",1808,"BG",0.768,0.7300739,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",1814,"BG",1.5359,2.0436566,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",1816,"BG",1.5359,2.1569757,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",1906,"BG",0.768,0.9809008,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",1908,"BG",1.1519,1.4712235,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",1909,"BG",0.768,0.9809008,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",1912,"BG",0.384,0.4904504,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",1915,"BG",1.9199,1.5428984,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",1918,"BG",1.5359,1.2343026,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",1919,"BG",1.5359,1.4600528,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",2001,"BG",0.768,1.0785581,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",2003,"BG",1.5359,1.2343026,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",2005,"BG",1.5359,2.0436566,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",2006,"BG",1.5359,1.961674,0.4767642,,,,,9
"ESS3e03_7",3,"3.7","01.12.2018",2011,"BG",0.768,1.0559379,0.4767642,,,,,88
"ESS3e03_7",3,"3.7","01.12.2018",2012,"BG",1.9199,1.8250898,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",2013,"BG",1.1519,1.4712235,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",2101,"BG",0.384,0.26623848,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",2103,"BG",1.5359,1.1151319,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2105,"BG",1.5359,1.1151319,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",2107,"BG",0.384,0.41620898,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",2118,"BG",0.768,0.6195597,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",2119,"BG",0.768,0.6195597,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2120,"BG",1.1519,0.81311655,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",2203,"BG",1.9199,2.240124,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",2206,"BG",0.768,0.45320937,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",2211,"BG",0.384,0.45144245,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",2213,"BG",0.384,0.45764625,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",2215,"BG",0.384,0.26623848,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",2217,"BG",0.768,0.74114263,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",2219,"BG",1.1519,1.3006968,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2303,"BG",2.3039,2.6015065,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",2305,"BG",0.768,0.6195597,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",2308,"BG",0.768,0.6195597,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",2310,"BG",1.5359,2.5183973,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2315,"BG",0.768,0.74114263,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",2317,"BG",1.1519,1.8887569,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2319,"BG",1.1519,1.3006968,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",2320,"BG",0.384,0.41620898,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2402,"BG",1.1519,0.7986461,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",2405,"BG",1.1519,1.4159421,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",2406,"BG",0.768,0.76963454,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",2407,"BG",1.1519,1.3542098,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2408,"BG",0.768,0.76963454,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2413,"BG",0.768,0.74114263,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",2416,"BG",1.1519,0.67975503,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2503,"BG",0.768,0.46915457,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",2504,"BG",0.384,0.33687857,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",2505,"BG",0.768,0.46915457,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",2507,"BG",1.5359,1.5391688,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",2512,"BG",0.768,0.76963454,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2515,"BG",1.5359,1.7343,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",2518,"BG",1.1519,0.70367074,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2603,"BG",0.768,0.76963454,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",2606,"BG",1.1519,0.92925894,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",2610,"BG",0.768,0.54212475,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",2611,"BG",0.768,0.9152925,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2612,"BG",0.384,0.26623848,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",2614,"BG",0.768,0.74114263,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",2619,"BG",1.1519,1.3542098,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",2701,"BG",1.5359,1.2390388,0.4767642,,,,,3
